cashflowverify-frontend:latest | 6fc833afc181 | 5 minutes ago | 2.09GB
cashflowverify-backend:latest | 322024e15177 | 5 hours ago | 2.03GB
cashflow-backend:latest | 399a7613ac87 | 9 hours ago | 2.03GB
cashflow-frontend:latest | bf760cd7e1ae | 9 hours ago | 2.08GB
cashflow_local-frontend:latest | 25447e1eeacc | 4 days ago | 2.06GB
cashflow_local-backend:latest | 4c5a0bd137a1 | 4 days ago | 1.97GB
postgres:15 | 6eb0add3b77c | 12 days ago | 633MB
redis:7-alpine | e7723ff73d96 | 3 weeks ago | 57.8MB
nginx:stable-alpine | 97d490c12ba5 | 4 weeks ago | 93.5MB
hello-world:latest | c3cbe1cc1aa5 | 4 months ago | 25.9kB
minio/minio:latest | 14cea493d9a3 | 11 months ago | 241MB
crystaldba/postgres-mcp:latest | dbbd346860d2 | 15 months ago | 414MB
